Speaker Name,Speaker Title,Speaker Description
Craig Johnson,"Educator, Author","Craig Johnson is the Superintendent of the American School of Bombay. Craig has returned to India (where he spent 12 years of his childhood) after 15 years in Brazil. While in Brazil, Craig served as the High School Principal, at Graded School in Sao Paulo; and more recently as the Headmaster of the American School of Brasilia, Brazil. Craig’s roots, as a classroom teacher, are in Middle and High School English and Social Studies. Craig continues to stay engaged in student life, by coaching soccer, and trying to teach or co-teaching an English class as often as possible. A regular presenter and workshop facilitator on a variety of Leadership and School Improvement topics, Craig has also published a novel (Wave Watcher), and has a second novel on the way"
C Balagopal,"Healthcare Entrepreneur, Author","Regarded as one of the country’s leading experts on healthcare systems and delivery, C Balagopal is the founder of Terumo Penpol Limited(TPL), which operates the largest blood bag manufacturing facility in the world. Now retired from TPL, he divides his time between mentoring and investing in startup ventures, especially those engaged in healthcare, community development activities, and writing."
Ben Nelson,"Founder, Minerva Project","Ben Nelson’s goal in life is overthrow Harvard. That’s right – Ben is revolutionizing the world of education, starting with his affordable, relevant, and elite online educational scheme. In 2011, Ben founded the Minerva Project, a four-year undergraduate educational platform that is reinventing the university experience for the brightest, most motivated students in the world. After working at Snapfish since 1999 and leaving as CEO a decade later, Ben decided to build a 21st-century school from scratch, designed to offer the ideal education for our tech-saavy and converging world. Ben is poised to press the reset button on the college experience – in his curriculum, all incoming students will be taught how to think and to use practical skills in the professional world, not just the classroom."
Abhijit Bhaduri,"Chief Learning Officer, Wipro","Abhijit Bhaduri is the Chief Learning Officer of Wipro. He has worked in India, South East Asia and the US where he led teams for Microsoft, PepsiCo, Colgate and Tata Steel. He is on the Advisory Board for the CLO program run by University of Pennsylvania. SHRM lists him as a top influencer on social media."
Rajan Anandan,"Managing Director, Google India","Rajan Anandan began his career with Mckinsey & Co., after which he held top leadership positions in companies such as Dell and Microsoft. Under his leadership Dell has profited from increased revenues of $250million to $800million in just three years. Anandan earned his Bachelors degree from the prestigious Massachusetts Institute of Technology, and his Master’s degree in Engineering from Stanford University."
Neil Mehta,"Co-chairman, Greenoaks Global Holdings Ltd.","Neil Mehta’s got your back when comes to business and investing. Neil is the co-chairman of Greenoaks Global Holdings Ltd. and the founder of Greenoaks Capital. Prior to Greenoaks Capital, Neil was responsible for real estate and special situations investments in India, the Middle East, and Southeast Asia for Orient Property Group. Neil has previously invested in private businesses at Kayne Anderson Capital Advisors in Los Angeles."
Suresh Vaidyanathan,Ghatam and Multi-Percussion Artist,"Ghatam Suresh Vaidyanathan is a top ranked Ghatam and multi-percussion artist internationally acclaimed and respected for his in-depth knowledge of Indian rhythm and technical supremacy. Working in the company of renowned drummers and musicians in world music and jazz genres besides carnatic music for many decades, Suresh has acquired the rich experience and authentic knowledge of the International music systems."
Parag Khanna,Global strategist and best-selling author,"Parag Khanna is a leading global strategist, world traveler and best-selling author. He is Managing Partner of Hybrid Reality, Co-Founder & CEO of Factotum, Senior Fellow at the New America Foundation, Senior Fellow at the Singapore Institute of International Affairs, and Adjunct Professor in the Lee Kuan Yew School of Public Policy at the National University of Singapore."
Choy Peng Wu,"CIO, Singtel","Choy Peng Wu  is the Group CIO of Singtel, where she is responsible for the Group’s IT vision and roadmap. She has served as the Singapore Government’s Chief Information Officer, and has also held a range of IT management roles in the Singapore Civil Service."
Charles Cadell,"President - Asia Pacific, McCANN","Charles Cadell is the President – Asia Pacific at McCANN. He has been working across the Asia Pacific region for the last 19 years, including time as CEO of Lowe Lintas India, and time in Hong Kong, China, Thailand and Malaysia, amongst others, with Leo Burnett. At Lowe Lintas, he became one of the only foreign CEOs in the history of the Indian advertising industry."
Balakrishnan G Iyer,"COO, Bharat Light and Power Group","Balakrishnan G. Iyer (Balki) is the Chief Operating Officer of Bharat Light and Power Group. He is responsible for driving growth and leads Operations of all BLP’s Renewable Power Projects in India. Previously, Balki led Business Development for GE’s Global Research Center, based in New York, with responsibility for driving new technology development in the Renewable Energy portfolio (namely Wind, Solar) & Smart Grid."
Alok Shetty,Architect,"Alok Shetty is Principal of Bhumiputra Architecture, an internationally acclaimed architecture and design firm based in Bangalore City. Operating across many scales, Shetty’s firm consistently works towards new built environments that improve the quality of life in emerging economies."
Scott Knox,Architect,Scott Knox is a Boston based architect who is creating pop-up housing solutions for the sadhus of the Ujjain Kumbh Mela in India.
Seema Kamble,Education Activist,"Seema Kamble’s journey of educational achievement began when she was a student at the Akanksha Foundation, a nonprofit organization which provides underprivileged children with access to quality education. Flourishing with the foundation’s support, she went on to earn her Bachelor’s in Commerce. When granted admission into an MBA program, however, she declined–opting instead to focus on educational service. Seema has taught third and fourth grades and is currently a principal with Teach for India."
Sandya Kola,Violinist,"Young Sandhya Kola has been studying violin nearly all her life—since she was four. Residing in an area with limited opportunity to study Western Classical traditions, Sandhya fed her passion through self-study and through Skype-based lessons. She is currently a grade 12 student at The International School Bangalore and plans to focus on music at university. Sandhya believes music is not only a means of self-expression but also a unique means of self-realization and introspection."
Ronojoy Adhikari,Physicist,"Ronojoy Adhikari is a scientist at The Institute of Mathematical Sciences, Chennai. His research focusses on two main areas, investigating the physics of materials and designing algorithms that make machines mimic human intelligence. Ronojoy is the recipient of the Faculty Research Award from Google Inc and the DAE-SRC Outstanding Investigator Award from the Department of Atomic Energy, Government of India."
Priyamvada Natarajan,Theoretical Astrophysicist,"Priyamvada Natarajan is a professor in the Departments of Astronomy and Physics at Yale University. She is a theoretical astrophysicist interested in cosmology, gravitational lensing and black hole physics. Her research is focused on making dark matter maps of clusters of galaxies, the largest known repositories of dark matter. She is also exploring a new channel for the formation of the first black holes and its observational consequences at high and low redshift."
Pranay Chulet,Founder & CEO Quikr,"Pranay grew up in India but right after his education, he moved to New York to join Mitchell Madison Group, a strategy consulting firm that advised clients in media and finance industries. Two years into the country, he launched a startup which he later merged with Walker Digital, Priceline’s incubator. The startup focused on helping small businesses convert online leads into paying customers. His work at Walker Digital earned him a US patent in the area of matchmaking between buyers and sellers. Subsequently, Pranay helped large US media companies such as movie studios and publishers evaluate and launch new digital businesses as a Principal at Booz & Co. in New York."
Meagan Pandian,Instrumentalist,"Mastering more than one musical instrument is no easy feat, but Meagan Pandian has won acclaim on the piano, the violin, and the concert pedal harp. Named the Young Musician of the Year in 2014 by the Olga and Jules Craen Foundation, Meagan has performed all over India. Furthermore, she has taken part in music study and festivals in England, Scotland, and France. In addition to performing as an instrumentalist, Meagan also sings in choral productions and teaches children and adults."
Madhukar Dhas,"Founder and Director, Dilasa","Born into a shepherding family, Madhukar Dhas has a keen understanding of the struggles of rural farmers. Motivated by the need to conserve water, in 1995 Madhukar banded with like minds to found Dilasa. To date, this NGO has benefitted more than 110,000 farmers with sustainable initiatives such as holistic watershed management, mixed cropping strategies, and seed banks. Diliasa received the National Rural Innovation Award from the National Bank for Agricultural and Rural Development for its work in water channeling."
M.R. Rangaswami,Software Pioneer and community builder,"M.R. Rangaswami is a software executive, investor, entrepreneur, corporate eco-strategy expert, community builder and philanthropist. In 1997, he co-founded Sand Hill Group one of the earliest “angel” investment firms and was featured on the front page of the Wall Street Journal. He produced the prestigious Enterprise and Software conferences that were held in Silicon Valley. He was also listed on the Forbes “Midas” list of investors."
Imaad Shah,Musician/ Actor,"Imaad Shah is an Indian actor and musician. He is one half of Madboy/Mink, India’s leading Electro Cabaret-Disco-Funk duo. He is also a theatre actor, and works with theatre company Motley, founded by Naseeruddin Shah and Benjamin Gilani."
Ganesh Natarajan,VC & CEO of Zensar Technologies,"Dr. Ganesh Natarajan is Vice Chairman & CEO of Zensar Technologies, a leading firm that optimises technology and processes for Fortune 500 companies. Natarajan’s industry responsibilities include leadership of the HBS Club of India, Chairman of the National Committee on Knowledge Management and Business Transformation and the Western Region Committee on Skills for the Confederation of Indian Industry. He was Chairman of NASSCOM in 2008 and is a member of the Chairmen’s Council of NASSCOM. He is also a fellow of the Computer Society of India. Ganesh is a Director of Social Venture Partners India and Convener of SVP Pune."
Balan Ayyar,"Chief operating officer, Sevatec","Balan Ayyar is the chief operating officer of Sevatec, Virginia-based technology contractor. Prior to joining Seratec, Balam has served in the US Air Forces. A retired brigadier general, Balan has more than two-decade veteran in the areas of nuclear weapons, intelligence, national security and supply chain management.  He has led the Air Force’s sales, advertising and marketing arm and oversaw a multi-service interagency effort aimed at establishing rule of law as well as protecting U.S. and coalition troops in Afghanistan."
Arunabh Kumar,"Founder & CEO, The Viral Fever","Arunabh Kumar, featured in Fortune “40 Under 40” List of India’s Business Leaders of 2015, is the Founder & CEO of The Viral Fever (TVF Group), a new age media company, with the philosophy of “Lights…Camera…Experiment !”. He is hailed as an expert on Youth Entertainment and a driver of Online Content Evolution in India. TVF’s Online business entity “TVF-ONE” got featured in top 20 Start Ups in India of 2014."
Anu Aga,Bussinesswoman and Social worker,"Anu Aga is on the Board of Thermax Limited, the leading Indian player in energy and environment management. She retired as Chairperson of the company in October, 2004. The Government of India conferred her with the Padma Shri Award for her distinguished service in the field of social work in 2010."
Annamma Spudich,The Cultural Botanist,"Annamma Spudich will blow your mind when it comes to connecting art, biology, ethno-botany and ancient scientific traditions. Annamma received her Ph.D and pursued postdoctoral work in molecular biology at Stanford University, and then carried out cell biology research at Stanford for 25 years – but something was still missing for her. After her work at the University of California, Anna left to devote her time to her life-long passion for ancient Indian scientific traditions in the natural sciences. With her extraordinary ability to connect the dots of seemingly separate fields, Anna curated a groundbreaking exhibit entitled “Such Treasure and Rich Merchandize: Indian Botanical Knowledge in 16th and 17th Century European Books”, and wrote several influential research papers about ethno-botany."
Amanda North,"Founder and CEO, Artisan Connect","Amanda is founder and CEO of Artisan Connect, providing market access for high quality home décor products from artisans in developing countries to help them thrive. She conceived of Artisan Connect while she was recovering from injuries sustained in the Boston Marathon bombing."
Vikas Agarwal,"General Manager, OnePlus, India","Vikas Agarwal is the General Manager of OnePlus India and was instrumental in the Chinese smartphone company’s expansion into India. Agarwal was responsible for setting up OnePlus’s operations, building a local team and launching the OnePlus One in the country. Prior to this, Vikas served as Corporate Excellence Director at Ibibo Group for about a year and half and was also the co-founder and CEO of Paras Softcom, an online retailer of lighting and electrical products. He is also a founding member of PE fund SITQ India and has had stints at Trikona Capital, Ocwen Financial Solutions and i2 Technologies."
Suresh V Shankar,Founder Crayon Data,"Suresh Shankar has over 28 years of experience working in a variety of roles ranging from large enterprises to start-ups, setting up new companies or divisions and launching or turning around brands or businesses. His latest venture is Crayon Data, a company that powers enterprises with the big data capability to offer ultra-personalized choices to consumers. Founded in Singapore in 2012 with a development center in Chennai, Crayon’s vision is symbolized by the seven tangrams in basic colors in its logo, with the idea to solve the perplexing data problem in a minimalist, simple, visual way."
Shubhendu Sharma,"Founder & Director, Afforestt","Shubhendu Sharma, an experienced industrial engineer turned eco-entrepreneur, is the Founder & Director of Afforestt, a company which creates urban forests. Developed using the Miyakwaki methodology for growing saplings from Japan, backed by robust management, intensive research and cutting edge technologies, Afforestt can create a “100 year old natural forest” in just 10 years. Shubhendu is an INK Fellow from the class of 2012."
Ronak Samantray,"Co-founder, NowFloats","Ronak is the co-founder of NowFloats, a start-up aimed at make the internet relevant for India’s innumerable small businesses. NowFloats helps business owners without access to the internet or a computer set up and update their own websites entirely by SMS. An inventor at heart, this 2013 INK Fellow is also the co-inventor and chief advisor of Bolt, the world’s first smartphone charger for bikes, and the co-designer of a ‘Speech Glove’ which recognises finger gestures and converts them to speech"
Robert Amjarv,Musician,"Robert Amjärv (bass, guitar) is a multi-instrumentalist, songwriter, composer, and filmmaker. His musical pursuit began at an early age, primarily engaging himself in the self-taught route. Soon after graduating high school at 14, he attended the Academy of Entertainment Technology in his hometown of Los Angeles. Rob involves himself with a wide variety projects in LA, and continues to travel the globe as an active performer."
Ramprasad Sundar,"Sound designer, composer","Ramprasad Sundar is a sound designer, mixer and composer who has been writing music and editing sound for films and TV since 2009, both in Hollywood and India. Fluent in sound editing, mixing (Surround) in multiple formats and music composing, he also teaches music and sound to students around the globe. He has worked on several sound design and surround sound mixing projects including Bradford Young’s installation piece ‘Funk God Jazz and Medicine’. He has worked with Gingger Shankar, Mali Elfman, Anisa Qureshi, Santosh Sivan, Mandolin U. Srinivas, Shankar Mahadevan, Ilayaraja to name a few."
Pulkit Jaiswal,Founder-CEO of SwarmX,"Pulkit Jaiswal, 22, is an entrepreneur, roboticist and Founder-CEO of SwarmX. At 18, Pulkit designed and implemented a medical device at Stanford University that can recognize viral infection signatures in real-time from DNA samples. At 20, Pulkit founded Garuda Robotics, a company that is the regional leader in aerial drone fleet applications and services in Southeast Asia. Now 23, Pulkit is spearheading SwarmX, a startup building the world’s first fully autonomous drone platform for governments to tackle terrorism, respond to disasters and address poaching."
Peng T. Ong,Venture Capalist,"Peng T. Ong is a Managing Director at Monk’s Hill Ventures, a technology venture fund. He sits on the boards of YY Inc. and Singapore University of Design & Technology; and, also on the advisory board of the Chancellor of the University of Illinois. Until recently, Peng was also on the boards of SingTel and Singapore’s National Research Foundation; and, chaired Infocomm Investments. Peng founded Match.com (bought by IAC), Interwoven (now part of HP), and Encentuate (acquired by IBM)."
Gingger Shankar,"Virtuoso Violinist, Singer, Composer","Gingger Shankar is a singer, virtuoso violinist, composer, model and songwriter, and was born into one of the world’s most influential musical families. Her accomplishments include working with top producers and film composers, and recently contributing to Katy Perry’s album “Prism” on the single, ‘Legendary Lover’. Gingger is an INK Fellow from the class of 2015. She is also the only female in the world to have mastered the 10-string double violin, an instrument that covers the entire range of the orchestra’s double bass, cello, viola and violin, and of which there are currently only two in existence."
Deepak Ravindran,Founder & CEO of Lookup,"Deepak Ravindran is the Founder and CEO of Lookup, a free and secure messaging app that connects shoppers with local businesses. A serial entrepreneur, Deepak has founded three mobile messaging companies in a decade: Innoz, Quest and Lookup. A 2011 INK Fellow, he has been recognized as one of the outstanding innovators under 35 by the MIT Technology Review and one of Asia’s 21 emerging leaders under 40 by the Asia Society. Recently, Business Insider described Deepak as the “Mark Zuckerberg of India”."
Cheryl Chung,Deputy Director Strategic Planning at LKYSPP,"Cheryl heads the strategic planning department at the Lee Kuan Yew School of Public Policy, National University of Singapore and together with a team, is building the futures research and teaching capabilities at the School with the “Future Ready Singapore” project.  Her work focuses on the intersection of technology, economic and regulatory policy and on capability development in futures thinking for policy makers."
Bennett Bay,Musician,"Bennett Bay is a composer and musician from Singapore whose music reflects everyday experiences and evokes emotion using pastoral imagery. His debut single ‘Komorebi’ was officially released to rave reviews in April this year on Spotify, iTunes and Bandcamp. Bennett has been playing music since he was eight, when he first picked up the suona in primary school, and has been writing his own music since 2011. He will now be recording his debut album in the coming months while he also heads to university to further his music studies."
Poornima Sukumar,"Artist, Muralist, Illustrator","Poornima Sukumar is a Bangalore based muralist, artist, illustrator and documentary photographer. She  uses public spaces – through wall art – to empower youth voice, engage the youth in peacemaking and to create awareness."
Nikhil Velpanur,Counterculture Entrepreneur,"Nikhil operates the multidisciplinary studio and business incubator, Boiled Beans Inc, whose purpose is to explore the idea of infinity and build technology that can change the world.The incubator builds companies at the intersection of the physical and digital world, in realms like personal fabrication, robotics and physical computing."
Luke Sequeira,UX Designer,Luke is a user experience designer with a deep interest in math and maps. He focuses on simplifying complex networks and is the founder of Numadic IoT. Numadic builds sensors and software for logistics and supply chain management.
Kazuhiro Obara,Catalyst,"Kazuhiro has two callings; launching IT platforms and connecting people to bridge more innovations between Japan and other Asian countries. He has worked for McKinsey, Google, Rakuten and 8 other companies in the New biz dev sector."
Jitendra Kumar,Actor,"Acting comes naturally to Jitendra Kumar who is known and recognised for his work in some of  TVF’s most popular videos – Munna Jazbaati, remembered for his hyperactive emotional state, Kejriwal in Bollywood Aam Aadmi Party which is by far the most popular TVF video and that of a role as an impatient son engaged in a tech conversation with his Dad!"
Hemmant Jha,"Chief Design Officer, Godrej & Boyce",Hemmant Jha is Chief Design Officer at Godrej & Boyce.
Harsh Songra,Founder MyChild App,"Harsh Songra is the founder of MyChild, an Android app that uses artificial intelligence to track and inform parents about any delays in the child’s growth and development. Today 1 out of 6 children suffer from one or the other developmental disorder and 16 million children out of 100 million born every year, go undiagnosed."
Anisha/ “Rickshawali”,Youtuber,"Rickshawali is a girl-centric comedy channel and the host of the channel is Anisha Dixit. Every Friday, she dons her unique Ricksha Topi and plays an Uber-effervescent alter-ego known as Rickshawali. On Tuesdays she does skits and comedy vlogs, with a funny twist to Indian daily behaviour."
Abhay Mahajan,Actor,"Trained in dance forms like ballet, bharatnatyam, contemporary, contact improvisation and martial arts like Kalari-payattu from the Attakkalari Centre for Movement Arts in Bengaluru, Abhay Mahajan has been a part of more than 30 plays of which he has performed around 400 shows."
Malishka Mendonsa,"Radio Jockey, REDFM","If you have a loving connection with Aamchi Mumbai, there’s hardly a chance that you’ve missed the boldest, wittiest, most influential voice on the airwaves."
Sumukhi Suresh,Comedian,"Best known for her stand-up and sketch comedy, Sumukhi Suresh is an actor, writer, and comedian from Bangalore. She currently stars in a leading role on Them Boxer Shorts’ new web series, “Better Life Foundation”."
Kaneez Surka,Comedian/ Improviser,"Kaneez Surka is an improviser, comedic actor, sketch artist and a stand up comic."
Anushka Sani,Founder Thought Over Design,"With a keen interest in visual design, human behaviour and technology , Anushka founded Thought Over Design – a studio based in Mumbai that creates positive experiences and memories through design."
Amit Hardi,"Chief Gaming Officer, Nukebox Studios","Amit is a visionary and technology evangelist with a penchant for mobile apps and games. He has over 15years experience and has consulted with Fortune 500 organizations across domains such as travel, defense, healthcare, banking & mobile."
Aman Jain,Learning navigator,"Aman Jain is the Head of Learning & Development at VF Corporation, India, well known for their iconic brands, The North Face, Timberlands, Vans, Lee, Wrangler & Nautica. He is a passionate, energetic and highly experienced trainer in diverse domains like behavioral interventions, experiential learning, youth and women empowerment."
Subodh Kerkar,Artist,"Subodh Kerkar was born in a small picturesque village of Keri on the northern border of Goa in 1959, just 2 years before the liberation of Goa from the Portuguese rule."
Samim Rizvi,International Cyclist,Samim is an international cyclist and the first Indian to qualify and compete in Race Across America – a 5000 kilometer race that spans across 12 days.
Krithi K. Karanth,Conservation Biologist,"Dr. Karanth is Chief Conservation Scientist and Director at the Centre for Wildlife Studies, Adjunct Faculty at Duke and National Centre for Biological Sciences. She has a Ph.D from Duke (2008), a M.E.Sc from Yale (2003), and, B.S and B.A degrees from the University of Florida (2001). Her research in India and Asia spans 22 years, encompassing many issues in human dimensions of wildlife conservation. She has conducted research assessing patterns of species distributions and extinctions, impacts of wildlife tourism, consequences of voluntary resettlement, land use change and understanding human-wildlife interactions. She has published over 100 scientific and popular articles. Karanth served on the editorial boards of journals Conservation Biology, Conservation Letters and Frontiers in Ecology and Environment. She has mentored over 200 young scientists and engaged 700 citizen science volunteers in her research and conservation projects."
Kalyan Varma,Wildlife Photographer,Kalyan Varma is a wildlife photographer and filmmaker specializing in environmental issues in India. He is a freelancer with many of the world’s leading magazines and channels like National Geographic and BBC.
David Rowan,"Editor, WIRED UK Magazine","David Rowan is editor-in-chief of WIRED’s UK edition. He’s taken 120 flights in the past year to investigate the companies and entrepreneurs changing our world, recently spending time with the founders of WhatsApp, LinkedIn, Google, Spotify, Xiaomi, Nest, Twitter and countless other disruptive startups from Tel Aviv to Shenzhen. His recent keynote talks have included events for banks, governments and Fortune 100 companies, and recent stage interviews have ranged from will.i.am to James Murdoch and David Cameron. David has been a columnist for The Times, GQ, Condé Nast Traveller and The Guardian. At WIRED he has extended the brand into conferences, apps, and a consulting business. He is co-founder of FlowJourneys.com, taking amazing people for weekend adventures in the world’s most extraordinary locations. And he is still searching for the future."
Bala Deshpande,"Senior Managing Director, New Enterprise Associates (India)","Bala is based in Mumbai and responsible for creating and building the NEA India platform. She serves on the board of several NEA portfolio companies such as Financial Software and Services, GOQii Inc, Nova Medical, IndiaWorld Technologies, Panacea Medical, etc."
Venkat Vallabhaneni,"General Partner, Parampara Capital",N/A
Trisha Shetty,"Founder and CEO, SheSays","Trisha is a social activist, lawyer and UN Young leader for Sustainable Development Goals. Her work focuses on working with and for the youth towards the advancement of the UN’s SDGs by bringing a gender specific approach to multiple disciplinary areas."
Sunil Kanoria,"Vice Chairman, Srei Infrastructure Finance Limited","Sunil Kanoria is a Kolkata-based Indian businessman with over 28 years of experience in infrastructure sector including infrastructure leasing & finance. He is the co-founder and Vice Chairman of Srei Infrastructure Finance Limited and also a trustee of Kanoria Foundation, which has as asset base of USD 10 billion."
Srinivas Kollipara,"Founder & COO, T-Hub","“A visionary, mentor and passionate humanist who is driven to make Hyderabad one of the top 10 startup cities in the world”"
Sowjanya Chalamkuri,"Sr. Director - Software Engineering, GE Digital",N/A
Sheelika Ravishankar,"People Lead at Team Indus, Google Lunar XPRIZE","Sheelika has nearly two decades of experience building and managing high performance human capital organizations both as an executive and an entrepreneur. At Team Indus, India’s only entry to Google Lunar XPRIZE, she enables the people organization and facilitates a culture of collaborative innovation and execution."
Sateesh Andra,"Managing Partner, Endiya Partners",N/A
Sashi Reddy,"Founder & Managing Partner, SRI Capital","Sashi is a seasoned entrepreneur and business leader. He founded 4 start-ups over the last 20 years. His last company AppLabs, a software testing firm with 2,500 employees, was acquired by Computer Sciences Corporation (NYSE: CSC)."
Sarath Naru,"Managing Partner, Ventureeast",N/A
Sanjay Swamy,Co-Founder and Managing Partner at Prime,"Sanjay Swamy is Co-Founder and Managing Partner at Prime (previously AngelPrime) a seed-stage VC firm based out of Bangalore. Sanjay leads the charge on helping shape companies that have a specific focus on mobile applications, banking, financial services and mobile payments, with a firm philosophy of partnering with banks and financial institutions."
Samir Sood,"Founder, Venture Highway","Samir Sood is founder of Venture Highway. In addition, Samir has helped grow and diversify India Forge, a family run auto parts manufacturing business. Prior to this, Samir was the Head of South Asia, Australia – M&A and Investments for Google Inc., and in that capacity, he has led Google’s investments in several first time seed stage funds in India: Erasmic Venture Fund (Accel India), SONG (Soros, Omydiar, Google Fund), Seedfund, and Ventureast TeNet Fund II. Additionally, Samir was part of the team that coordinated the $750 million acquisition of AdMob."
Rohit Pandharkar,"Head of Data Science, Mahindra Rise",N/A
Ravi Mantha,Angel Investor and Wellness Coach,"Ravi Mantha is one of India’s more prolific Angel Investors, with investments in several startups that he also actively helps with capital raising and business strategy. Ravi also has a very high-end and niche wellness advisory practice based in London and Mumbai. He is highly recommended as one of India’s leading nutritional and wellness experts, and is author of two best-selling books on these topics."
Raman V Kumar,"Chairman, CASHe",N/A
Rama Iyer,"Sr. Vice President - Innovation and Strategic Alliances , T-",N/A
Raju Reddy,Founder & CEO of Sierra Atlantic,"Raju is the Founder and CEO of Sierra Atlantic, a company that grew to be a best-in-class global services company over a period of 17 years. Under his leadership, Sierra Atlantic grew from a startup to over 2400 employees with operations in several countries and was consistently ranked amongst the best managed companies including the top 75 most admired companies in Silicon Valley, Top 25 great places to work in India and Top 10 best employers in South China."
Rajesh Raju,"Managing Director, Kalaari Capital","Rajesh is a pioneer in investing in direct-to-consumer companies in India. His investment interests span consumer categories in retail, education and mobile. Rajesh returned from the US in 2006, drawn by the immense potential that India presents for entrepreneurs in reshaping the country. He has been a part of the startup ecosystem ever since."
Radha Basu,Entrepreneur and Mentor,"Radha Basu is widely recognized as a leading technology entrepreneur and mentor, and as a pioneer in the Indian software business. Radha grew Hewlett Packard’s electronic software division from ground zero into a $1.2 billion business. She then held the position of Chairman and CEO of Support.com, a Nasdaq-listed company. Radha and her husband subsequently launched Anudip Foundation to generate livelihoods for India’s unemployed and marginalized youth through digital and workplace skills development."
Prasad Vanga,"Founder and CEO, Anthill",N/A
Prakash Bodla,"Vice President Engineering & Center Head, UTC","Prakash is a business focused technology executive with 21 years of international experience. He has built multidisciplinary engineering teams and grown business operations in Fortune 500 companies. He has a strong background in Product engineering, IT & Operational Excellence. Excelled in matrix leadership role, he has steered the organizations for product innovation and strong performance ethics & integrity. He has worked in US for 9+ years and has many International Publications t his name."
Prakash Mallya,Managing Director – Sales and Marketing Group – Intel In,"Prakash Mallya is responsible for developing new growth areas in the region. He was most recently the Director for Intel Asia’s Data Center Group, and managed the region’s data center strategy for cloud service providers, communications service providers, enterprise and government infrastructure, spanning server, storage, and network solutions. Prior to that, Prakash was the Managing Director of Southeast Asia at Intel where he led all of Intel’s sales, marketing and the enablement of Intel products across Southeast Asia, one of the world’s most dynamic markets for computing technology. Besides achieving strong business results, under his stewardship, Southeast Asia team won the Global ECOC Award for exemplary leadership in Ethics and Compliance."
Nitesh Jangir,"Co-Founder, Coeo Labs","Nitesh K. Jangir is a co-founder of Coeo Labs, a medical device company solving unmet clinical needs in the field of emergency and critical care. VAPCare is one of the products which he has developed at Coeo. VAPCare is a patented device to reduce chances of contracting ventilator-associated pneumonia (VAP), a fatal lung infection which kills more than 250,000 patients in India alone. His work has won many awards including MassChallenge Boston, Millennium Alliance, 3M Young Innovators Award, ASME I-Show, American College of Cardiology, 1776, Tata Social Enterprise Challenge etc."
Miki Uchida,"Director, 01Booster","Miki is Director of 01Booster (Zero One Booster), top accelerator of Japan. Miki is passionate about 01Booster’s vision, ‘helping Japan make businesses that may impact the world."
Lux Rao,"Director & Leader - Digital Transformation, Cisco","Lux Rao has spent over 25 years in the industry, taking on roles like Sales & Marketing, Branding and Communications, Channel & Product Management, Product Support, Pre-sales, Competency Development and Customer Service. He has contributed extensively in developing new services, value-proposition and transforming programs into business lines."
Karthik Reddy,Co-Founder and Managing Partner at Blume Ventures,"Karthik Reddy is the co-founder and Managing Partner at Blume Ventures, one of India’s leading early stage Venture funds. Blume focusses on seed to Pre-Series A stages of funding and has made over a 100 investments across its 7 year history."
Jayesh Ranjan,Principal Secretary Industries & Commerce (I&C) and Informat,"Jayesh Ranjan is the Principal Secretary of the Industries and Commerce (I&C) and Information Technology (IT) Departments of the Telangana Government. His assignment involves developing policy frameworks, attracting new investments, identifying opportunities of utilizing IT in various government processes, and promoting digital empowerment of the citizens. His last few assignments have been in the Industrial Promotion sector as Commissioner and MD of the Industries Department, Secratary in the Tourism Promorion Department, and Vice Chairman of the Hyderabad Urban Development Authority (HUDA) all for 2-3 years each and various rural assignments in different parts of the state for over 12 years, working in diverse sectors like Tribal Development, Natural Resources Management, Poverty Alleviation, and other related Social Development Sectors."
Jasminder Gulati,"Co-Founder and CEO, NowFloats",N/A
Hendrik Halbe,"Co-Founder, Get in the Ring",N/A
Hari Thalapalli,"CEO, CallHealth Services Pvt. Ltd.",N/A
Dr. Anthony Vipin Das,"Associate Director, L.V Prasad Eye Institute","Anthony is an ophthalmologist by passion, an innovator by choice and a maker by evolution. His specific interests include Ocular Trauma, Community Ophthalmology and is pursuing research in the field of Whole Eyeball Transplantation. He is an Associate Director & Consultant Ophthalmologist at LVPEI and Chief Architect of eyeSmart EMR, a revolutionary Electronic Medical Record and Hospital Management System developed in-house at LVPEI and has checked in over 4 Million consultations. He is a Fellow of the Royal College of Surgeons and Physicians, Glasgow."
BVR Mohan Reddy,"Founder and Executive Chairman, Cyient",N/A
Asha Jadeja,"Founder, Dot Edu Ventures","After investing in about 75 technology companies as a venture capitalist, Asha is currently a top Silicon Valley angel investor, social entrepreneur, global philanthropist, speaker, a mentor to Stanford entrepreneurs, and mom to her two daughters. She lives in Palo Alto and New York."
Anil Nanduri,"VP, GM Drone Group - Intel Corporation","Anil Nanduri is Vice President in the New Technology Group and General Manager of the UAV segment at Intel Corporation. He is responsible for establishing Intel’s unmanned aviation systems business and pursuing opportunities for growth in this segment. This group provides ingredients and end to end systems for the drone ecosystem. Additionally, this group has been developing innovative new usages such as the Drone 100 aerial light show and providing technology to Volocopter, a person carrying drone copter. He also served on the FAA’s Micro UAS Aviation Rulemaking Committee."
Amit Lodha,Inspector General of Police,"Amit Lodha is a 1998-batch IPS officer of the Bihar cadre. He is presently the Deputy Inspector General of the Border Security Force, posted in Jaisalmer. He has been honoured with the Excellent Contribution Award for successfully initiating a police-public partnership for better policing in Bihar’s Nalanda district during his tenure as the superintendent of police there."
